title,price,location,area,bathrooms,bedrooms,price_per_sqm
Showrooms for Rent in AL Khuwair| REF 474GA,11.0,"Al Khuwair, Muscat•",140.0,2.0,2.0,0.07857142857142857
Luxurious Fully Furnished 2 BR Apartment in Muscat Hills,520.0,"Muscat Hills, Muscat•",119.0,3.0,2.0,4.369747899159663
For Rent Warehouse - Al Rusayl,1060.0,"Al Rusayl, Muscat•",424.0,2.0,2.0,2.5
Renovated 5 Bedroom Villa For Rent in Azaiba,1500.0,"Azaiba, Muscat•",465.0,6.0,5.0,3.225806451612903
Qurum | 2 Bedrooms | Pool and gym,400.0,"Qurum, Muscat•",120.0,2.0,2.0,3.3333333333333335
High demanded | modern style | 2BD,450.0,"Bosher, Muscat•",120.0,3.0,2.0,3.75
MQ | BRAND NEW 4+1 BR TOWNHOUSE,800.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,4.0,2.6666666666666665
AL MOUJ | FULLY FURNISHED 2 BR APARTMENT,700.0,"The Wave (Almouj), Muscat•",105.0,2.0,2.0,6.666666666666667
BOSHAR AL MUNA | BRAND NEW 3 BR TOWNHOUSE,700.0,"Bosher, Muscat•",300.0,4.0,3.0,2.3333333333333335
2 Bedroom Apartment with Study for Rent in Al Mouj,700.0,"The Wave (Almouj), Muscat•",129.0,2.0,2.0,5.426356589147287
Luxurious 2 BHK Furnished Twin Villa for Rent in Bosher,850.0,"Bosher, Muscat•",200.0,3.0,2.0,4.25
Spacious 4+Maids Room Villa for Rent in Azaiba,650.0,"Azaiba, Muscat•",200.0,4.0,4.0,3.25
3+1 BHK Furnished Villa in Luxury Community living in Bosher,1250.0,"Bosher, Muscat•",250.0,4.0,3.0,5.0
Luxurious Apartment for Rent in Al Mouj| REF 77BC,750.0,"The Wave (Almouj), Muscat•",100.0,3.0,2.0,7.5
"Furnished two bedroom apartment, Muscat Hills - RMHA034",650.0,"Muscat Hills, Muscat•",177.0,2.0,2.0,3.672316384180791
BRAND NEW 1 BHK APARTMENT FOR RENT- WUTTAYAH !,275.0,"Muscat - Other, Muscat•",86.0,2.0,1.0,3.197674418604651
MODERN OFFICE SPACES FOR RENT - AL KHUWAIR!,180.0,"Al Khuwair, Muscat•",12.0,2.0,2.0,15.0
VILLAS FOR RENT - MQ !!,725.0,"Madinat As Sultan Qaboos, Muscat•",235.0,5.0,4.0,3.0851063829787235
For Rent: Ready Warehouses in Al Misfah Area,3000.0,"Misfah, Muscat•",1000.0,2.0,2.0,3.0
2 BR Fully Furnished Apartment | Ghubra - MGM,625.0,"Al Ghubrah, Muscat•",109.0,3.0,2.0,5.73394495412844
109 SQM + 44 SQM Balcony Road-Facing Shop – Bawsher,1200.0,"Bosher, Muscat•",153.0,2.0,2.0,7.8431372549019605
3 BR + 1 Maid’s Room Apartment with Plunge Pool in Bousher,855.0,"Bosher, Muscat•",159.0,3.0,3.0,5.377358490566038
3 BR + 1 Maid’s Room Furnished Apartment in Bausher – with Pool/Gym,600.0,"Bosher, Muscat•",159.0,4.0,3.0,3.7735849056603774
3 BR Beautiful Villa for Rent – Al Hail,550.0,"Al Hail, Muscat•",857.0,4.0,3.0,0.6417736289381564
120 SQM Retail Spaces for Rent – MSQ,1560.0,"Madinat As Sultan Qaboos, Muscat•",120.0,2.0,2.0,13.0
Retail Shops for Rent Located in Mabelah,590.0,"Al Maabilah, Muscat•",47.2,2.0,2.0,12.5
3 Desk Office Space in Business Centre close to Muscat Hills,320.0,"Muscat Hills, Muscat•",10.0,2.0,2.0,32.0
MADINAT AL ILAM | BEAUTIFUL 3+1 BR COMPOUND VILLAS,950.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,3.0,3.1666666666666665
AL KHUWAIR | BEAUTIFUL 2 BHK FLAT FOR FAMILIES,270.0,"Al Khuwair, Muscat•",101.0,2.0,2.0,2.6732673267326734
BOSHER | BRAND NEW 3+1 BR VILLA WITH POOL,850.0,"Bosher, Muscat•",300.0,4.0,3.0,2.8333333333333335
QURUM | EXCELLENT 6 BR COMPOUND VILLA,650.0,"Qurum, Muscat•",300.0,7.0,6.0,2.1666666666666665
GHUBRA WELL MAINTAINED 3BHK APARTMENT - FREE WIFI,350.0,"Al Ghubrah, Muscat•",130.0,3.0,3.0,2.6923076923076925
BANNER 101 - BIG 4BHK VILLA FOR RENT IN SUR AL HADID,450.0,"Al Maabilah, Muscat•",450.0,6.0,4.0,1.0
RF47 - FULLY FURNISHED 2BHK FLAT FOR RENT IN BOUSHER 38,280.0,"Bosher, Muscat•",150.0,2.0,2.0,1.8666666666666667
BANNER 107 - FULL 1ST FLOOR 3BHK FLAT FOR RENT IN MAWALEH SOUTH,300.0,"Al Mawaleh, Muscat•",250.0,3.0,3.0,1.2
BANNER 07 - STAN ALONE 6BHK VILLA FOR RENT IN AZAIBA BEHIND VIVA.,1000.0,"Azaiba, Muscat•",450.0,5.0,6.0,2.2222222222222223
2 BR Apartment in Ghubra – 18th November Street,300.0,"Al Ghubrah, Muscat•",109.0,2.0,2.0,2.7522935779816513
BEAUTIFUL OFFICE SPACE IN PRIME LOCATION FOR RENT,950.0,"Ghala, Muscat•",330.0,2.0,2.0,2.878787878787879
Brand New Office Spaces FOR RENT  in Bousher - Al Maha St. MPC20-A,575.0,"Bosher, Muscat•",120.0,2.0,2.0,4.791666666666667
Office Spaces FOR RENT Brand New Building Al Maha St. MPC20-B,575.0,"Bosher, Muscat•",120.0,2.0,2.0,4.791666666666667
2 BR Apartment in Ghubra - Close to Amenities,250.0,"Al Ghubrah, Muscat•",109.0,2.0,2.0,2.293577981651376
1 BR + Maid’s Room Spacious Apartment | Road-Facing in Bosher,415.0,"Bosher, Muscat•",59.0,2.0,1.0,7.033898305084746
2 BR Corner Furnished Apartment in Ghubra,600.0,"Al Ghubrah, Muscat•",109.0,3.0,2.0,5.504587155963303
5 BR + Maid’s Room Twin Fantastic Villa in Ansab,500.0,"Ansab, Muscat•",459.0,6.0,5.0,1.0893246187363834
3 BR + Maid's Room Cozy Apartment in Ghubra,350.0,"Al Ghubrah, Muscat•",159.0,2.0,3.0,2.20125786163522
4 BR + Maid’s Room + Storage Room Stunning Villa in Muscat Hills,1450.0,"Muscat Hills, Muscat•",419.0,6.0,4.0,3.460620525059666
90 sqm Office Near British Council in Madinat Sultan Qaboos,450.0,"Madinat As Sultan Qaboos, Muscat•",90.0,2.0,2.0,5.0
5 BR + 1 Maid’s Room Exceptional Bedroom Villa in Madinat Ilam,1400.0,"Madinat As Sultan Qaboos, Muscat•",459.0,6.0,5.0,3.0501089324618738
3 BR Fully Furnished Apartment in Bausher with Pool & Gym,950.0,"Bosher, Muscat•",139.0,2.0,3.0,6.83453237410072
Excellent Fully serviced Offices with Amenities Included in Ghubrah,500.0,"Al Ghubrah, Muscat•",15.0,2.0,2.0,33.333333333333336
2 BR Fantastic Apartment in Ghala with Balcony,285.0,"Ghala, Muscat•",109.0,3.0,2.0,2.614678899082569
2 BR Great Apartment Al Khuwair – Amenities Nearby,220.0,"Al Khuwair, Muscat•",109.0,2.0,2.0,2.018348623853211
2 BR Nice Apartment Located in Al Khuwair,300.0,"Al Khuwair, Muscat•",119.0,3.0,2.0,2.5210084033613445
2 BR Compact Flat in Wadi Kabir,330.0,"Al Wadi Al Kabir, Muscat•",109.0,3.0,2.0,3.0275229357798166
1 BR Cozy Flat in Wadi Kabir,215.0,"Al Wadi Al Kabir, Muscat•",59.0,1.0,1.0,3.6440677966101696
3 BR Fully Furnished Apartment in Qurum,500.0,"Qurum, Muscat•",109.0,3.0,3.0,4.587155963302752
1255 SQM Amazing Showroom Space in Azaiba,8250.0,"Azaiba, Muscat•",1255.0,2.0,2.0,6.573705179282869
Office Space One Desk in Lamar Business Center Bawshar FOR RENT,190.0,"Bosher, Muscat•",30.0,2.0,2.0,6.333333333333333
Fully furnished studio in Al Khuwair 33,180.0,"Al Khuwair, Muscat•",10000.0,1.0,2.0,0.018
MADINAT SULTAN QABOOS | STUNNING 5+1 BEDROOM VILLA FOR RENT,1199.0,"Madinat As Sultan Qaboos, Muscat•",420.0,6.0,5.0,2.854761904761905
Studio ( without furniture ) in Al Ghubra South,150.0,"Al Ghubrah, Muscat•",10000.0,1.0,2.0,0.015
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE FOR RENT,3510.0,"Al Wadi Al Kabir, Muscat•",1300.0,2.0,2.0,2.7
BOSHER AL MUNA | MODERN 3+1 BR TOWNHOUSES WITH PRIVATE POOL FOR RENT,850.0,"Bosher, Muscat•",244.0,5.0,4.0,3.4836065573770494
shops in hamriya,100.0,"Al Hamriyah, Muscat•",16.0,2.0,2.0,6.25
25 sqm shop in Al Misfah first line,80.0,"Misfah, Muscat•",25.0,2.0,2.0,3.2
MADINAT SULTAN QABOOS | HIGH QUALITY 5+1 BR LUXURIOUS VILLA,1199.0,"Madinat As Sultan Qaboos, Muscat•",395.0,7.0,6.0,3.0354430379746837
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILL,1899.0,"Madinat As Sultan Qaboos, Muscat•",598.0,9.0,7.0,3.1755852842809364
ابدئي مشروعك في مجمع نسائي متكامل بالقرب من العريمي بوليفارد,150.0,"Al Khoud, Muscat•",20.0,2.0,2.0,7.5
مكتب واسع في الغبرة بأفضل سعر وموقع,900.0,"Al Ghubrah, Muscat•",122.7,2.0,2.0,7.334963325183374
"Premium Office Space Available at Beach One, Shatti Al Qurum, CSAQO030",1105.0,"Qurum, Muscat•",170.0,2.0,2.0,6.5
Experience luxurious living in a brand-new 1BHK apartment at the Mand,1300.0,"Qurum, Muscat•",80.0,2.0,1.0,16.25
للايجار مساحات مفتوحة للمكاتب و الشركات فى المعبيلة مقابل الطريق,600.0,"Al Maabilah, Muscat•",198.0,2.0,2.0,3.0303030303030303
A beautiful and spacious apartment for rent in Al Qurum,500.0,"Qurum, Muscat•",200.0,3.0,3.0,2.5
Villas in Compound for Rent in Shatti al Qurum,650.0,"Qurum, Muscat•",300.0,7.0,6.0,2.1666666666666665
MUSCAT HILLS | FURNISHED 1 BR APARTMENT,450.0,"Muscat Hills, Muscat•",75.0,2.0,1.0,6.0
MUSCAT HILLS | MODERN 4+1 BR COMPOUND VILLA WITH PRIVATE POOL,1250.0,"Muscat Hills, Muscat•",425.0,6.0,5.0,2.9411764705882355
"""SR-MS-393 Wide villa to let in alazaiba Good quality, swimming pool",2500.0,"Azaiba, Muscat•",700.0,9.0,8.0,3.5714285714285716
"""SR-AM-392    2 villas commercial to let in al azaiba",1200.0,"Azaiba, Muscat•",450.0,4.0,8.0,2.6666666666666665
BOSHER | BRAND NEW 3+1 BR LUXURY VILLA WITH PRIVATE POOL,1199.0,"Bosher, Muscat•",450.0,7.0,4.0,2.6644444444444444
"""SR-SL-730 *For Rent: Prime Shop to let in 18 November street azaiba",2500.0,"Azaiba, Muscat•",150.0,2.0,2.0,16.666666666666668
غرفه وصاله وحمام ومطبخ,190.0,"Al Ghubrah, Muscat•",200.0,1.0,1.0,0.95
52 SQM Commercial Shop for Rent | Azaiba – Excellent Location,780.0,"Azaiba, Muscat•",52.0,2.0,2.0,15.0
QURUM | BEAUTIFUL 4 BR COMMUNITY VILLA,1800.0,"Qurum, Muscat•",300.0,6.0,4.0,6.0
MAWALEH SOUTH | SHOP/OFFICE SPACE,100.0,"Al Mawaleh, Muscat•",15.0,2.0,2.0,6.666666666666667
MQ | FIT OUT OFFICE SPACE,448.0,"Madinat As Sultan Qaboos, Muscat•",64.0,2.0,2.0,7.0
MQ | BEAUTIFUL 3+1 DUPLEX APARTMENT,850.0,"Madinat As Sultan Qaboos, Muscat•",135.0,3.0,3.0,6.296296296296297
AL KHUWAIR | RETAIL UNIT (SHELL & CORE),600.0,"Al Khuwair, Muscat•",60.0,2.0,2.0,10.0
QURUM | LUXURIOUS 3+1 BR VILLA WITH INFINITY POOL,1200.0,"Qurum, Muscat•",300.0,5.0,3.0,4.0
5 BR + Maid’s Room Spacious Villa with Private Pool | Shatti Al Qurum,1700.0,"Qurum, Muscat•",550.0,5.0,5.0,3.090909090909091
Villa For rent,800.0,"Al Mawaleh, Muscat•",500.0,8.0,7.0,1.6
Villa For Rent,450.0,"Al Khoud, Muscat•",380.0,6.0,5.0,1.1842105263157894
MADINAT QABOOS | 3+2BR REFURBISHED TRADITIONAL VILLA WITH BACKYARD,750.0,"Madinat As Sultan Qaboos, Muscat•",500.0,6.0,5.0,1.5
"2-Bedroom Apartment for Daily Rent – Zahrat Al Khareef Complex, Salala",30.0,"Salalah, Dhofar•",118.0,2.0,2.0,0.2542372881355932
3BHK Penthouse FOR RENT in Ghala - Airport Heights MPA38 P,350.0,"Ghala, Muscat•",180.0,4.0,3.0,1.9444444444444444
2 BHK apartment for rent in al khuwair 33 (XW7G),210.0,"Al Khuwair, Muscat•",120.0,2.0,2.0,1.75
4+1 villa in qurum (D27G),500.0,"Qurum, Muscat•",500.0,5.0,4.0,1.0
5+1 maid room villa in Azaiba (SD2F),550.0,"Azaiba, Muscat•",700.0,5.0,5.0,0.7857142857142857
Amazing Townhouse for Rent in Al Mawaleh North| REF 289BA,650.0,"Al Mawaleh, Muscat•",300.0,7.0,5.0,2.1666666666666665
2 BHK Furnished apartment in Hail (SWUB),300.0,"Al Hail, Muscat•",120.0,3.0,2.0,2.5
2 BHK apartment in al Mouj (S28HG),800.0,"The Wave (Almouj), Muscat•",150.0,2.0,2.0,5.333333333333333
2 BHK Semi FURNISHED APARTMENT (S27G),450.0,"Qurum, Muscat•",120.0,3.0,2.0,3.75
SR-MR-355 offices to let mawaleh,180.0,"Al Mawaleh, Muscat•",70.0,2.0,2.0,2.5714285714285716
4 BR Amazing Villa with Front Yard Garden – Ghubra,850.0,"Al Ghubrah, Muscat•",309.0,3.0,4.0,2.750809061488673
3 BR Modern Villa in Shatti Al Qurum with Shared Pool & Gym,700.0,"Qurum, Muscat•",150.0,3.0,3.0,4.666666666666667
SR-SL-730 Shop for rent to let in 18 November street ( azaiba),2500.0,"Azaiba, Muscat•",150.0,2.0,2.0,16.666666666666668
AL KHUWAIR | SPACIOUS 7 BR TWIN VILLA,800.0,"Al Khuwair, Muscat•",300.0,8.0,7.0,2.6666666666666665
2 Bedroom Apartment for Rent in Almouj Muscat,750.0,"The Wave (Almouj), Muscat•",150.0,2.0,2.0,5.0
SR--SH-865  Twin Villa for Rent – South Mawaleh/توين فيلا للإيجار –,800.0,"Al Mawaleh, Muscat•",500.0,7.0,7.0,1.6
WELL MAINTAINED 2 BHK IN AL GHUBRAH NORTH,250.0,"Al Ghubrah, Muscat•",105.0,2.0,2.0,2.380952380952381
غرفتين وصاله وحمام ومطبخ,230.0,"Al Ghubrah, Muscat•",285.0,1.0,2.0,0.8070175438596491
Fully furnished room + bathroom ( no kitchen ) in Al Khuwair 33,150.0,"Al Khuwair, Muscat•",11111.0,1.0,1.0,0.013500135001350014
MUSCAT BAY | LUXURIOUS 4+1BR MODERN WATERFRONT VILLA FOR RENT,1750.0,"Qantab, Muscat•",550.0,6.0,5.0,3.1818181818181817
للايجار شقه مميزه ف موقع حيوي بالخوير بجوار دوار دوحه الادب - 2BHKRent,350.0,"Al Khuwair, Muscat•",111.0,3.0,2.0,3.1531531531531534
1 Bedroom Apartment on Ground Floor,500.0,"The Wave (Almouj), Muscat•",97.0,1.0,1.0,5.154639175257732
SR--MO-904 FLAT for rent in Al Hail North/شقة للايجار في الحيل ال,150.0,"Al Hail, Muscat•",80.0,1.0,1.0,1.875
فيلا راقية للإيجار في السيب – سور الحديد | Luxury Villa for Rent in S,600.0,"Al Seeb, Muscat•",445.0,7.0,5.0,1.348314606741573
SR--SH-903  Apartment for rent in Al Hail North/ شقة للايجارفي الموالح,380.0,"Al Mawaleh, Muscat•",200.0,3.0,3.0,1.9
SR-MT-394 Commercial villa for rent in Al Azaiba / فيلا تجارية للايجار,1500.0,"Azaiba, Muscat•",350.0,6.0,6.0,4.285714285714286
"""SR-HK-427        Flat to let in Al khod""",230.0,"Al Khoud, Muscat•",130.0,3.0,2.0,1.7692307692307692
SR--DW-901 Showroom For rent in al Azaiba/معرض للايجار في العذيبة,600.0,"Azaiba, Muscat•",183.0,2.0,2.0,3.278688524590164
SR--AH-900 Commercial Office for rent in Al Qurum/ مكتب تجاري للايجار,1000.0,"Qurum, Muscat•",140.0,2.0,2.0,7.142857142857143
SR-MZ-594 Villa in a compound for rent in Alhail North,750.0,"Al Hail, Muscat•",450.0,7.0,5.0,1.6666666666666667
SR--AG-898 Villa for Rent in Maabailah 6/فيلا للايجار في المعبيلة السا,500.0,"Al Maabilah, Muscat•",400.0,7.0,6.0,1.25
SR-SO--915 Flat For Rent In Azaiba/شقة للايجار في العذيبة,320.0,"Azaiba, Muscat•",120.0,2.0,2.0,2.6666666666666665
SR-KR-302 Flat to let Mawaleh North/شقة للايجار في الموالح الشمالية,450.0,"Al Mawaleh, Muscat•",100.0,2.0,1.0,4.5
**للإيجار – مكاتب ذكية في موقع استراتيجي قريب مبنى وزارة الاقتصاد,420.0,"Ghala, Muscat•",74.3,2.0,2.0,5.652759084791387
غرف راقية للأجار للموظفات,135.0,"Qurum, Muscat•",30.0,1.0,1.0,4.5
Room daily/weekly rent. for couples and family,10.0,"Azaiba, Muscat•",30.0,1.0,1.0,0.3333333333333333
3 Bedroom Apartment at Al Maabilah - Baraq Al Reef,210.0,"Al Maabilah, Muscat•",100.0,3.0,3.0,2.1
Villa for Rent with 6 Bedrooms at Bowshar - Bowshar Villa,650.0,"Bosher, Muscat•",300.0,4.0,6.0,2.1666666666666665
2 Bedroom Apartment in Al Ghubra - Bait Abdullah,225.0,"Al Ghubrah, Muscat•",78.0,2.0,2.0,2.8846153846153846
"Ready to move-In, A Grade Offices, Prime Location - Al Ghubrah",700.0,"Al Ghubrah, Muscat•",108.0,2.0,2.0,6.481481481481482
""" SR-KR-303  Flat for Rent in Mawaleh North/ شقه للايجار في الموالح",550.0,"Al Mawaleh, Muscat•",120.0,3.0,2.0,4.583333333333333
GHALA | 450SQM BEAUTIFUL PENTHOUSE OFFICE SPACE FOR RENT,1700.0,"Ghala, Muscat•",450.0,2.0,2.0,3.7777777777777777
MADINAT QABOOS | LUXURIOUS 4+1 BR VILLA WITH PRIVATE POOL FOR RENT,1600.0,"Madinat As Sultan Qaboos, Muscat•",435.0,7.0,5.0,3.67816091954023
AL QURUM | AMAZING 4+1 BR COMMUNITY VILLA FOR RENT,1250.0,"Qurum, Muscat•",410.0,6.0,5.0,3.048780487804878
AL QURUM | BEAUTIFUL 5+1 BR COMMUNITY VILLA FOR RENT,1450.0,"Qurum, Muscat•",463.0,7.0,6.0,3.1317494600431965
BOSHER AL MUNA | MODERN 3BHK BRAND NEW TOWNHOUSES FOR RENT,750.0,"Bosher, Muscat•",240.0,4.0,3.0,3.125
MADINAT AL ILAM | BRAND NEW LUXURIOUS 5+1 BR VILLA FOR RENT,1300.0,"Madinat As Sultan Qaboos, Muscat•",430.0,8.0,6.0,3.0232558139534884
BOSHER AL MUNA | BRAND NEW 3+1BR MODERN TOWNHOUSE WITH PRIVATE POOL,850.0,"Bosher, Muscat•",280.0,5.0,4.0,3.0357142857142856
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA IN PRIME LOCATION,2500.0,"Madinat As Sultan Qaboos, Muscat•",595.0,12.0,9.0,4.201680672268908
AL QURUM | 1400SQM OPEN COMMERCIAL SPACE FOR RENT,9200.0,"Qurum, Muscat•",1400.0,2.0,2.0,6.571428571428571
AL QURM | MODERN 3+1 BR VILLA WITH GREAT VIEWS,1200.0,"Qurum, Muscat•",650.0,5.0,4.0,1.8461538461538463
MADINAT QABOOS | MODERN HIGH QUALITY 6+2 BR LUXURIOUS VILLA FOR RENT,1999.0,"Madinat As Sultan Qaboos, Muscat•",750.0,9.0,8.0,2.6653333333333333
AL QURUM | 555 SQM SPACIOUS OPEN SPACE OFFICE IN PRIME LOCATION,3333.0,"Qurum, Muscat•",555.0,2.0,2.0,6.005405405405406
AZAIBA | BEAUTIFUL 6+1 BR VILLA ON 18 NOVEMBER STREET FOR RENT,850.0,"Azaiba, Muscat•",425.0,6.0,7.0,2.0
متوفر استديو غرفه وحمام ومطبخ غير مفروش للايجار في الغبره الجنوبيه,150.0,"Al Ghubrah, Muscat•",60.0,1.0,1.0,2.5
1BHK Apartment ( Without furniture ) in North Ghubra .,190.0,"Al Ghubrah, Muscat•",10000.0,1.0,1.0,0.019
سيارات للايجار في الخوير,170.0,"Al Khuwair, Muscat•",5000.0,1.0,1.0,0.034
SR--OZ-852  Spacious 5-Bedroom Villa for Rent in Al Azaiba,650.0,"Al Hail, Muscat•",300.0,5.0,5.0,2.1666666666666665
Luxury community 3 BHK for Rent  in MQ,800.0,"Madinat As Sultan Qaboos, Muscat•",195.0,3.0,3.0,4.102564102564102
Newly Refurbished 3 + 1 BHK Villa at Qurum,725.0,"Qurum, Muscat•",275.0,4.0,3.0,2.6363636363636362
Spacious 4 BHK Villa for Rent at 18th November Street,550.0,"Azaiba, Muscat•",200.0,4.0,4.0,2.75
فيلا للإيجار في المعبيلة الجنوبية – المرحلة الثامنة | Villa for Rent i,450.0,"Al Maabilah, Muscat•",300.0,6.0,5.0,1.5
Budget Apartment for Rent in Al Qurum |REF 738ME,350.0,"Qurum, Muscat•",90.0,2.0,2.0,3.888888888888889
Spacious Twin Villa for Rent in Azaiba| REF 196GM,800.0,"Azaiba, Muscat•",300.0,6.0,4.0,2.6666666666666665
MADINAT AL ILAM | BRAND NEW 5+1 BR LUXURY TWIN VILLAS FOR RENT,1300.0,"Madinat As Sultan Qaboos, Muscat•",450.0,8.0,6.0,2.888888888888889
"""SR--HR-911  Commercial Villa for Rent in Azaiba",3000.0,"Azaiba, Muscat•",380.0,7.0,6.0,7.894736842105263
AZAIBA |  6+1 BR VILLA ON 18 NOV STREET,850.0,"Azaiba, Muscat•",345.0,6.0,7.0,2.463768115942029
High-end apartment for rent in Al Ghubra North near the beach,425.0,"Al Ghubrah, Muscat•",120.0,3.0,2.0,3.5416666666666665
"""SR-RA-738 Successful Investment Opportunity in Al Hail",1400.0,"Al Hail, Muscat•",120.0,2.0,2.0,11.666666666666666
SR-HA-762 Flats for rent in Alhail North .,270.0,"Al Hail, Muscat•",120.0,2.0,3.0,2.25
"""SR-HO-745 Shops for Rent in Al Hail North",480.0,"Al Hail, Muscat•",40.0,2.0,2.0,12.0
"2 BR Amazing Apartment in BLV Tower, Muscat Hills",435.0,"Muscat Hills, Muscat•",109.0,2.0,2.0,3.9908256880733943
SR-OA-828Villa for rent in almawaleh north/ فيلا للايجار في الموالح,750.0,"Al Mawaleh, Muscat•",500.0,8.0,7.0,1.5
SR-MI-516 Shop to let in mawaleh north محل للايجار في الموالح الشماليه,250.0,"Al Mawaleh, Muscat•",25.0,2.0,2.0,10.0
1 BR Impressive Spacious Apartment in Muscat Hills,330.0,"Muscat Hills, Muscat•",63.0,1.0,1.0,5.238095238095238
Spacious 4BHK + Maids villas with private gardens and 5 star amenities,825.0,"Sohar, Al Batinah•",520.0,6.0,4.0,1.5865384615384615
"Spacious 3BHK apartment, beautiful complex with all facilities",475.0,"Sohar, Al Batinah•",216.0,4.0,3.0,2.199074074074074
Ready to Move In office space different size and view - Al Ghubrah,786.0,"Al Ghubrah, Muscat•",108.0,2.0,2.0,7.277777777777778
Spacious 2BHK in premier family-kids friendly gated community,450.0,"Al Ghubrah, Muscat•",170.0,3.0,2.0,2.6470588235294117
Offices & Shops for rent in SEZAD,125.0,"Al Duqum, Al Wusta•",16.0,2.0,2.0,7.8125
Warehouse / Store for rent      مخزن / مستودع للإيجار,2000.0,"Muscat - Other, Muscat•",1000.0,2.0,2.0,2.0
صلاله عوقد,55.0,"Salalah, Dhofar•",300.0,5.0,4.0,0.18333333333333332
شقه بمعبيله شارع نزهه نظيفه,200.0,"Al Maabilah, Muscat•",80.0,2.0,2.0,2.5
Apartment for Rent with 2 Bedrooms Apartment at Al Khuwair - Sama,250.0,"Al Khuwair, Muscat•",110.0,2.0,2.0,2.272727272727273
Semi furnished villa for Rent in Al Ghubra North| REF 73iC,700.0,"Al Ghubrah, Muscat•",300.0,4.0,4.0,2.3333333333333335
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,1599.0,"Madinat As Sultan Qaboos, Muscat•",350.0,7.0,5.0,4.5685714285714285
1 BR Outstanding Apartment in Al Mouj with Amenities,600.0,"The Wave (Almouj), Muscat•",70.0,2.0,1.0,8.571428571428571
2 BR + Maid’s Room Apartment in Al Khuwair – Excellent Location,450.0,"Al Khuwair, Muscat•",109.0,3.0,2.0,4.128440366972477
265 sqm shop  in Bosher,1850.0,"Bosher, Muscat•",265.0,2.0,2.0,6.981132075471698
AL MOUJ | SEMI-FURNISHED 2BHK MARINA VIEW APARTMENT **AMAZING VIEWS**,1200.0,"The Wave (Almouj), Muscat•",165.0,3.0,2.0,7.2727272727272725
REDUCED PRICE!!! MADINAT AL ILAM | 4+1 BR SPACIOUS MANSION,1499.0,"Madinat As Sultan Qaboos, Muscat•",555.0,5.0,4.0,2.700900900900901
SHATTI AL QURM | 650 SQM SEA VIEW OPEN SPACE OFFICE IN PRIME LOCATION,4499.0,"Qurum, Muscat•",650.0,2.0,2.0,6.921538461538462
MADINAT QABOOS | BRAND NEW LUXURIOUS 5+1BR TWIN VILLAS,1799.0,"Madinat As Sultan Qaboos, Muscat•",426.0,8.0,6.0,4.223004694835681
GHALA | 451 SQM PENTHOUSE OFFICE SPACE **FULL FLOOR WITH VIEWS**,1599.0,"Ghala, Muscat•",451.0,2.0,2.0,3.5454545454545454
QURM | 298 SQM FURNISHED OFFICE IN PRIME LOCATION,1788.0,"Qurum, Muscat•",298.0,2.0,2.0,6.0
MADINAT QABOOS | 3+2 BR REFURBISHED TRADITIONAL VILLA WITH SPACIOUS BA,699.0,"Madinat As Sultan Qaboos, Muscat•",289.0,6.0,5.0,2.4186851211072664
MUSCAT BAY | LUXURIOUS 4+1BR MODERN WATERFRONT VILLA,1699.0,"Qantab, Muscat•",456.0,6.0,5.0,3.7258771929824563
AL MOUJ | QUALITY 2 BHK POOL VIEW APARTMENT,749.0,"The Wave (Almouj), Muscat•",135.0,2.0,2.0,5.548148148148148
AL MOUJ | GORGEOUS 2+2 BHK MARINA VIEW APARTMENT,1199.0,"The Wave (Almouj), Muscat•",168.0,4.0,4.0,7.136904761904762
MADINAT QABOOS | BRAND NEW MODERN 4+1 BR COMPOUND VILLA,1199.0,"Madinat As Sultan Qaboos, Muscat•",280.0,6.0,5.0,4.2821428571428575
Twain Upscale Villa for Rent in Al-Qurum 29,800.0,"Qurum, Muscat•",400.0,7.0,7.0,2.0
Spacious Standalone 5+1 BR Villa for Rent in Qurom,1200.0,"Qurum, Muscat•",450.0,6.0,5.0,2.6666666666666665
AZAIBA NORTH | BRAND NEW 5+1BR BEACH SIDE VILLA,900.0,"Azaiba, Muscat•",399.0,7.0,6.0,2.255639097744361
Luxury apartment for rent in Al Mouj Lagoon,550.0,"The Wave (Almouj), Muscat•",85.0,2.0,1.0,6.470588235294118
فيلا راقيه جديدة للايجار ف الحيل-New luxury villa for rent in Al Hail,650.0,"Al Hail, Muscat•",400.0,7.0,6.0,1.625
استديو مؤثث بالكامل للايجار في العذيبه,170.0,"Azaiba, Muscat•",500.0,1.0,1.0,0.34
Good Apartment for Rent in Al Ghubra | REF 807iB,290.0,"Al Ghubrah, Muscat•",100.0,2.0,2.0,2.9
5 Bedroom Signature villa for Rent in Muscat Hills,2500.0,"Muscat Hills, Muscat•",657.0,8.0,5.0,3.8051750380517504
Spacious apartment in excellent area for rent in Al-Qurum,275.0,"Qurum, Muscat•",120.0,3.0,2.0,2.2916666666666665
