title,price,location,area,bathrooms,bedrooms,price_per_sqm
3 BR Compact Villa in Al Khuwair,600.0,"Al Khuwair, Muscat•",189.0,2.0,2.0,3.1746031746031744
350 SQM Great Office Spaces in Azaiba,1837.0,"Azaiba, Muscat•",350.0,2.0,2.0,5.248571428571428
2 BR Excellent Apartment in Ruwi,280.0,"Ruwi, Muscat•",109.0,3.0,2.0,2.5688073394495414
1 BR Elegant Apartment in Ruwi – with Shared Gym,225.0,"Ruwi, Muscat•",59.0,2.0,1.0,3.8135593220338984
440 SQM Great Office Spaces in Azaiba,2310.0,"Azaiba, Muscat•",440.0,2.0,2.0,5.25
3 + 1 Fully Furnished Villa for Rent in Al Khoud with Garden & Pool,700.0,"Al Khoud, Muscat•",259.0,4.0,3.0,2.7027027027027026
1125 SQM Spacious Warehouse/Land Space in Barka for Rent,3937.5,"Barka, Al Batinah•",1125.0,2.0,2.0,3.5
2 BR Fully Furnished Apartment Muscat Hills (or 1 Shared Apartment),550.0,"Muscat Hills, Muscat•",80.0,2.0,2.0,6.875
1054 SQ M Office Space In Qurum Close To The Beach,7378.0,"Qurum, Muscat•",1054.0,2.0,2.0,7.0
140 SQ M Office Space in Prime Location – Bausher,1260.0,"Bosher, Muscat•",140.0,2.0,2.0,9.0
Exquisite 4-bedroom duplex with direct beach access,3000.0,"The Wave (Almouj), Muscat•",349.0,6.0,4.0,8.595988538681949
Stunning 1-Bedroom Apartment with Golf Course View,1350.0,"The Wave (Almouj), Muscat•",140.0,2.0,1.0,9.642857142857142
1me68 - Comfortable 6BHK Villa for Rent In Azaiba,800.0,"Azaiba, Muscat•",400.0,6.0,6.0,2.0
2me3 - Well Located 4BHK Townhouse for Rent in Ghubrah,600.0,"Al Ghubrah, Muscat•",350.0,5.0,4.0,1.7142857142857142
3 Bedroom Duplex Apartment for Rent,850.0,"Madinat As Sultan Qaboos, Muscat•",200.0,4.0,3.0,4.25
1 Bedroom Apartment for Rent in Madinat Qaboos,650.0,"Madinat As Sultan Qaboos, Muscat•",85.0,3.0,1.0,7.647058823529412
3 Bedroom Villa with Stunning Views for Rent,1200.0,"Qurum, Muscat•",250.0,5.0,3.0,4.8
3 Bedroom Villa in Qurum for Rent,650.0,"Qurum, Muscat•",350.0,4.0,3.0,1.8571428571428572
4 Bedroom Villa in Madinat Al Illam For Rent,900.0,"Madinat As Sultan Qaboos, Muscat•",400.0,6.0,4.0,2.25
2 Bedroom Duplex for Rent in Madinat Qaboos,700.0,"Madinat As Sultan Qaboos, Muscat•",170.0,4.0,2.0,4.117647058823529
4 Bedroom Villa with Pool for Rent in Muscat Hills,1350.0,"Muscat Hills, Muscat•",423.0,6.0,4.0,3.1914893617021276
3 Bedroom Apartment for Rent in Madinat Qaboos,800.0,"Madinat As Sultan Qaboos, Muscat•",195.0,4.0,3.0,4.102564102564102
7 Bedroom Villa for Rent in Al Mouj Muscat,3000.0,"The Wave (Almouj), Muscat•",560.0,9.0,7.0,5.357142857142857
3me67 - Spacious 4+1 BHK Compound Villa for Rent in MQ,1200.0,"Madinat As Sultan Qaboos, Muscat•",400.0,5.0,4.0,3.0
3me66 - Luxurious 4+1BHK Villa for Rent in MQ with Private Pool,1550.0,"Madinat As Sultan Qaboos, Muscat•",400.0,5.0,4.0,3.875
For Rent: 2 Bedroom Luxury Apartment with Marina Views,800.0,"The Wave (Almouj), Muscat•",167.0,2.0,2.0,4.790419161676646
2 BR Fully Furnished Apartment with Marina & Sea View – Al Mouj,1200.0,"The Wave (Almouj), Muscat•",109.0,2.0,2.0,11.009174311926605
2 BR Marina View New Apartment in Al Mouj – Juman 2,1150.0,"The Wave (Almouj), Muscat•",113.0,3.0,2.0,10.176991150442477
2 BR Great Apartment in MBD,210.0,"Ruwi, Muscat•",109.0,2.0,2.0,1.926605504587156
3 BR Great Apartment in Al Khuwair,300.0,"Al Khuwair, Muscat•",163.0,3.0,3.0,1.8404907975460123
250 SQM Office Space available near Grand Hyatt Qurum,1600.0,"Qurum, Muscat•",52.0,2.0,2.0,30.76923076923077
330 SQM Showroom for Rent at Azaiba with Amenities Nearby,2640.0,"Azaiba, Muscat•",330.0,2.0,2.0,8.0
400 SQM Office Space for Rent – Qurum,2400.0,"Qurum, Muscat•",400.0,2.0,2.0,6.0
77 SQM Brand New Retail Shop at The Gate on November 18th Street,1232.0,"Azaiba, Muscat•",77.0,2.0,2.0,16.0
400 SQM Office Space in Bausher (Behind Al Ameen Mosque),1200.0,"Bosher, Muscat•",400.0,2.0,2.0,3.0
400 SQM Road-Facing Showroom for Rent in Ruwi,2500.0,"Ruwi, Muscat•",400.0,2.0,2.0,6.25
2 BR Commercial/Residential Apartment in 18th Nov Street,375.0,"Al Ghubrah, Muscat•",109.0,2.0,2.0,3.4403669724770642
300 SQ M Office Space in Ghubrah North,750.0,"Al Ghubrah, Muscat•",300.0,2.0,2.0,2.5
1125 SQM Commercial Spaces for Rent – MSQ,7875.0,"Madinat As Sultan Qaboos, Muscat•",1125.0,2.0,2.0,7.0
Private Smart Office Spaces With A Great City View In Bawshar,1085.0,"Bosher, Muscat•",155.0,2.0,2.0,7.0
750 SQ M Penthouse Office Space in Qurum  with Terrace,3600.0,"Qurum, Muscat•",750.0,2.0,2.0,4.8
170 SQ M Office Space in Ruwi – CBD,500.0,"Ruwi, Muscat•",170.0,2.0,2.0,2.9411764705882355
Wadi kabir - Brand New Flats Near Indian School,265.0,"Al Wadi Al Kabir, Muscat•",120.0,2.0,1.0,2.2083333333333335
