title,price,location,area,bathrooms,bedrooms,log_price,log_area
"adv901**a beautiful, maintained villa 4bhk+maid for rent in qurum in a",700.0,"qurum, muscat",365.0,5.0,4.0,6.55250788703459,5.902633333401366
adw02***well-maintained 2bhk fully furnited flat in the wave – sea vie,700.0,"the wave (almouj), muscat",110.0,3.0,2.0,6.55250788703459,4.709530201312334
furnished office for rent seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,140.0,"al seeb, muscat",100.0,2.0,2.0,4.948759890378168,4.61512051684126
furnished office for rent avenues mall ghoubra مكتب للإيجار في الغبرة,150.0,"bosher, muscat",100.0,2.0,2.0,5.017279836814924,4.61512051684126
rv05 - 4bhk groundfloor villa for rent in al khoud,400.0,"al khoud, muscat",600.0,4.0,4.0,5.993961427306569,6.398594934535208
brand new 2 bhk apartments in bausher – book in advance & save!,340.0,"bosher, muscat",120.0,2.0,2.0,5.831882477283517,4.795790545596741
brand new spacious 5 bhk villa for rent – seeb,650.0,"al seeb, muscat",220.0,6.0,5.0,6.478509642208569,5.3981627015177525
large retail space avaliable at suqoon building in azaiba,340.0,"azaiba, muscat",386.0,2.0,2.0,5.831882477283517,5.958424693029782
taminat - bausher - 2-bedroom apartment,425.0,"bosher, muscat",140.0,3.0,2.0,6.054439346269371,4.948759890378168
"prime location for your business – wafa walk, salalah",340.0,"salalah, dhofar",70.0,2.0,2.0,5.831882477283517,4.2626798770413155
3bhk flat for rent in mq,475.0,"madinat as sultan qaboos, muscat",150.0,3.0,3.0,6.16541785423142,5.017279836814924
مكتب للإيجارمؤثث في سكوير الخوض السيب office for rent furnished,140.0,"al khoud, muscat",100.0,2.0,2.0,4.948759890378168,4.61512051684126
office for rent in avenues mall ghubrah bawshar khuwair - مكتب للايجار,150.0,"al ghubrah, muscat",100.0,2.0,2.0,5.017279836814924,4.61512051684126
