title,price,area,bathrooms,bedrooms,log_price,log_area,price_per_sqft,area_sqm,price_per_sqm,total_rooms,"loc_al 'awabi, al batinah","loc_al amarat, muscat","loc_al amarat, muscat, oman","loc_al awabi, muscat, oman","loc_al azaiba south, muscat, ...","loc_al buraimi, al buraimi","loc_al bustan, muscat","loc_al duqum, al wusta","loc_al ghubrah, muscat","loc_al hail north, muscat, oman","loc_al hail south, muscat, oman","loc_al hail, muscat","loc_al hail, muscat, oman","loc_al hamriyah, muscat","loc_al hamriyah, muscat, oman","loc_al kamil and al waafi, al sharqiya","loc_al khaboura, al batinah","loc_al khoud, muscat","loc_al khoud, muscat, oman","loc_al khuwair south, muscat, oman","loc_al khuwair, muscat","loc_al khuwair, muscat, oman","loc_al khuwayr south, muscat,...","loc_al maabilah, muscat","loc_al maabilah, muscat, oman","loc_al masn'a, al batinah","loc_al mawaleh north, muscat, oman","loc_al mawaleh south, muscat, oman","loc_al mawaleh, muscat","loc_al mawaleh, muscat, oman","loc_al mazyona, dhofar","loc_al mouj, muscat, oman","loc_al mudaibi, al sharqiya","loc_al qabil, al sharqiya","loc_al rusayl, muscat","loc_al rustaq, al batinah","loc_al seeb, muscat","loc_al sifah, muscat","loc_al sinainah, al buraimi","loc_al wadi al kabir, muscat","loc_al wadi al kabir, muscat, oman","loc_ansab, muscat","loc_ansab, muscat, oman","loc_azaiba, muscat","loc_azaiba, muscat, oman","loc_bahla, al dakhiliya","loc_barka, al batinah","loc_barr al jissah, muscat","loc_bawshar al muna, muscat, oman","loc_bawshar, muscat, oman","loc_bidbid, al dakhiliya","loc_bidiya, al sharqiya","loc_bosher, muscat","loc_darsait, muscat","loc_darsait, muscat, oman","loc_ghala, muscat","loc_ghala, muscat, oman","loc_ghubrah north, muscat, oman","loc_ghubrah south, muscat, oman","loc_ghubrah, muscat, oman","loc_haima, al wusta","loc_ibra, al sharqiya","loc_ibri, al dhahirah","loc_izki, al dakhiliya","loc_ja'alan bani bu ali, al sharqiya","loc_khasab, musandam","loc_liwa, al batinah","loc_madinat al ilam, muscat, oman","loc_madinat as sultan qaboos, muscat","loc_madinat as sultan qaboos, muscat, oman","loc_madinat as sultan qaboos,...","loc_mahdhah, al buraimi","loc_manah, al dakhiliya","loc_masira, al sharqiya","loc_mirbat, dhofar","loc_misfah, muscat","loc_misfah, muscat, oman","loc_muscat - other, muscat","loc_muscat bay, muscat, oman","loc_muscat hills, muscat","loc_muscat hills, muscat, oman","loc_mutrah, muscat","loc_mutrah, muscat, oman","loc_nizwa, al dakhiliya","loc_qantab, muscat","loc_qurayyat, muscat","loc_qurum 29, muscat, oman","loc_qurum, muscat","loc_qurum, muscat, oman","loc_rakhyut, dhofar","loc_ruwi, muscat","loc_ruwi, muscat, oman","loc_sadab, muscat","loc_sadah, dhofar","loc_saham, al batinah","loc_salalah, dhofar","loc_sayh al malih st, muscat,...","loc_seeb, muscat, oman","loc_shalim and the hallaniyat island, dhofar","loc_shati al qurum, muscat, o...","loc_shatti al qurum, muscat, oman","loc_shinas, al batinah","loc_sohar, al batinah","loc_sohar, al batinah, oman","loc_sultan haitham city, muscat","loc_sumail, al dakhiliya","loc_sur, al sharqiya","loc_suwaiq, al batinah","loc_taqah, dhofar","loc_the wave (almouj), muscat","loc_wadi kabir, muscat, oman","loc_wattayyah, muscat, oman","loc_yiti, muscat","loc_yunqul, al dhahirah",bedrooms_enc
house shifting professional carpenter service h,0.14583394411971623,-0.2470742805354865,3.0,2.0,5.831882477283517,4.189654742026425,0.17876458735165288,6.038695,0.17876458735165293,0.23076923076923078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
room for rent,-1.1336906922360326,-0.31973689249608817,2.0,1.0,4.330733340286331,2.3978952727983707,0.5501214746726468,0.92903,0.5501214746726469,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
tjzrzjxiyxitxtixxitkjt tjx,0.14583394411971623,-0.20347671335912548,3.0,2.0,5.831882477283517,4.59511985013459,-0.10948337361282677,9.104494,-0.10948337361282681,0.23076923076923078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
فلةللايجار اليومي في صحلنوت مقابل شارع الفاروق,-1.0129808208817166,0.21532415921379694,6.0,4.0,4.61512051684126,6.030685260261263,-0.637811063592285,38.554745,-0.6378110635922851,0.6153846153846154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
استوديو للايجار,-0.8681289752565375,-0.2668913565247415,1.0,1.0,4.875197323201151,3.9318256327243257,-0.2517576345594656,4.64515,-0.25175763455946565,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
executive bachelor single room (flat ) 4 floor,-0.9164129237982639,-0.31973689249608817,1.0,1.0,4.795790545596741,2.3978952727983707,1.2865410647837705,0.92903,1.2865410647837707,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
شقة للايجار في الخوض السادسة للطلاب,-0.530141335464453,-0.20083443656055813,3.0,3.0,5.303304908059076,4.61512051684126,-0.3499469132409488,9.2903,-0.34994691324094884,0.3076923076923077,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
فيلا للايجار في العذيبة الشمالية بموقع مميز,0.14583394411971623,0.19550708322454194,6.0,5.0,5.831882477283517,5.993961427306569,-0.5381430307137914,37.1612,-0.5381430307137917,0.6923076923076924,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
shop for rent in mabella,0.9183771207873381,-0.2985986781075495,2.0,2.0,6.2166061010848646,3.295836866004329,2.46984775658626,2.415478,2.469847756586261,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
غرف الايجار اليومي في صحنوت الشماليه متوفره من 16/8,-1.3992524092155276,0.06339324329617524,1.0,1.0,3.044522437723423,5.707110264748875,-0.6663345889923945,27.8709,-0.6663345889923946,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
executive  bachelor  looking  for a room,0.14583394411971623,-0.20083443656055813,1.0,1.0,5.831882477283517,4.61512051684126,-0.12083859631748808,9.2903,-0.1208385963174881,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
صلاله، الزاوية,-1.2544005635903483,-0.2074401285569765,2.0,2.0,3.9318256327243257,4.564348191467836,-0.5911135626340653,8.825785,-0.5911135626340653,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
looking for executives sharing flat,-0.8922709495274007,-0.31709461569752084,1.0,1.0,4.836281906951478,2.5649493574615367,1.0274304682631898,1.114836,1.0274304682631903,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
looking for an executive for flat sharing,0.14583394411971623,-0.31709461569752084,1.0,1.0,5.831882477283517,2.5649493574615367,3.959471428890812,1.114836,3.9594714288908124,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
office for rent,0.14583394411971623,-0.24046858853906816,2.0,2.0,5.831882477283517,4.262679877041316,0.11762108048039956,6.50321,0.11762108048039957,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
شقق مفروشه للايجار اليومي في صلاله,-1.3751104349446643,-0.21668809735196215,2.0,2.0,3.258096538021482,4.48863636973214,-0.630753373106554,8.175464,-0.6307533731065541,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
غرفة الإيجار اليومي - صلالة,-1.4233943834863907,-0.2999198165068332,1.0,1.0,2.772588722239781,3.258096538021482,-0.5790552301644095,2.322575,-0.5790552301644096,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
flat avaible. for fanily and room for single person,0.14583394411971623,-0.2906718477118475,1.0,1.0,5.831882477283517,3.49650756146648,1.0615239678053716,2.972896,1.061523967805372,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
